,cpi_dataset,fingerprint_dataset,cpi_fingerprint_dataset,cpi_dataset_se_C0011603,cpi_dataset_se_C0012833,cpi_dataset_se_C0015230,cpi_dataset_se_C0018681,cpi_dataset_se_C0027497,cpi_dataset_se_C0042963,cpi_fingerprint_dataset_se_C0011603,cpi_fingerprint_dataset_se_C0012833,cpi_fingerprint_dataset_se_C0015230,cpi_fingerprint_dataset_se_C0018681,cpi_fingerprint_dataset_se_C0027497,cpi_fingerprint_dataset_se_C0042963,fingerprint_dataset_se_C0011603,fingerprint_dataset_se_C0012833,fingerprint_dataset_se_C0015230,fingerprint_dataset_se_C0018681,fingerprint_dataset_se_C0027497,fingerprint_dataset_se_C0042963
Precision,0.7932135916457823,0.8015340822625681,0.8018837398357767,0.776536312849162,0.7590822179732314,0.7632541133455211,0.7959372114496768,0.863519313304721,0.800952380952381,0.7773654916512059,0.7753694581280788,0.7781818181818182,0.818847209515096,0.8666666666666667,0.7948717948717948,0.7855178735105408,0.7721393034825871,0.7811320754716982,0.8158614402917046,0.8656330749354005,0.7889207258834766
Recall,0.8060447202650362,0.8309396670836565,0.8124800393182467,0.7897727272727273,0.7900497512437811,0.7967557251908397,0.7966728280961183,0.8613013698630136,0.8017159199237369,0.7831775700934579,0.7761341222879684,0.8060263653483992,0.8195970695970696,0.8710771840542832,0.8188679245283019,0.8336575875486382,0.7934560327198364,0.8109696376101861,0.8467360454115421,0.8870255957634599,0.8137931034482758
FOne,0.7995079962038044,0.8159451147440421,0.8071085741496992,0.7830985915492957,0.7742564602632863,0.7796451914098973,0.7963048498845265,0.8624089155593656,0.8013339685564556,0.7802607076350092,0.775751601774273,0.791859389454209,0.8192219679633868,0.8688663282571912,0.8066914498141264,0.8088721094856064,0.7826525466464952,0.7957712638154735,0.831012070566388,0.8761987794245859,0.8011639185257031
AUROC,0.5761458666666667,0.5693193999999999,0.5780648166666666,0.5598641,0.5886097,0.5397979,0.5601007,0.5949769,0.6135259,0.5456732,0.6044184,0.5264745,0.5834577,0.6144703,0.5938948,0.5565048,0.5794191,0.5508328,0.5641445,0.6022597,0.5627555
