,cpi_dataset,fingerprint_dataset,cpi_fingerprint_dataset
precision,0.8005056746133895,0.8072033026854579,0.798125524223877
recall,0.930786716566193,0.9312046060115841,0.9578017701000157
f1,0.860535135346913,0.8645224735202107,0.8703077784003906
roc_auc,0.6369486543466124,0.6517844696032066,0.6647152752122784
