,cpi_dataset,fingerprint_dataset,cpi_fingerprint_dataset,cpi_dataset_se_C0011603,cpi_dataset_se_C0012833,cpi_dataset_se_C0015230,cpi_dataset_se_C0018681,cpi_dataset_se_C0027497,cpi_dataset_se_C0042963,fingerprint_dataset_se_C0011603,fingerprint_dataset_se_C0012833,fingerprint_dataset_se_C0015230,fingerprint_dataset_se_C0018681,fingerprint_dataset_se_C0027497,fingerprint_dataset_se_C0042963,cpi_fingerprint_dataset_se_C0011603,cpi_fingerprint_dataset_se_C0012833,cpi_fingerprint_dataset_se_C0015230,cpi_fingerprint_dataset_se_C0018681,cpi_fingerprint_dataset_se_C0027497,cpi_fingerprint_dataset_se_C0042963
precision,0.8005056746133895,0.8072033026854579,0.798125524223877,0.7805540162515612,0.7780058379298731,0.7761908203789755,0.8166574220548968,0.8585469975882141,0.7930789534768163,0.7953339590335291,0.7700290800296938,0.7886025492671203,0.8234895556595946,0.8693270175617711,0.7964376545610382,0.7836935795987265,0.7699515223196718,0.7752290332764324,0.81408713491091,0.8633089977006618,0.7824828775368593
recall,0.930786716566193,0.9312046060115841,0.9578017701000157,0.9185893980233603,0.9104950495049504,0.9236996336996338,0.9334522595990485,0.9709106984969054,0.9275732600732601,0.9250618694079573,0.8997896065642752,0.9206548638873026,0.937538185085355,0.9682192206179163,0.9359638905066978,0.9710280373831776,0.9172199572898465,0.9698554046905308,0.9486905754795663,0.9796392872664059,0.960377358490566
f1,0.860535135346913,0.8645224735202107,0.8703077784003906,0.8438603186019563,0.8387044934467998,0.8434041177206446,0.8710763311544583,0.911192806450307,0.8549727447073119,0.855134123317594,0.8296037007798296,0.849354707528464,0.876521152065828,0.916035168297331,0.8604859891322183,0.8672799019673262,0.8368380874099113,0.861561945829892,0.8761010304064418,0.9177733580351415,0.8622923467536303
roc_auc,0.6369486543466124,0.6517844696032066,0.6647152752122784,0.6027703075226659,0.6715953973775757,0.5936010517260517,0.640867663772599,0.6508591568074327,0.6619983488733489,0.6179545076595531,0.665270695907229,0.6142260183121165,0.6656845148961053,0.6761765309290926,0.6713945499151434,0.6480520744831493,0.7050120569332474,0.6243440923282636,0.6719291344937987,0.6591124506378744,0.6798418423973364
