,cpi_dataset,fingerprint_dataset,cpi_fingerprint_dataset
Precision,0.7932135916457823,0.8015340822625681,0.8018837398357767
Recall,0.8060447202650362,0.8309396670836565,0.8124800393182467
FOne,0.7995079962038044,0.8159451147440421,0.8071085741496992
AUROC,0.5761458666666667,0.5693193999999999,0.5780648166666666
