,pruning,include_original_features,dataset,averageAUROC,HammingLoss,SubsetAccuracy,RankingLoss,MacroPrecision,MacroRecall,MacroFOne,nodes,leaves,groups,avg_group_features,gen_XofN_time,training_time,#used,#unused,group_max_len,group_min_len
23,False,no_org,CPI_low_freq,0.5860851499999999,0.32203400000000004,0.20838900000000002,0.262669,0.379818,0.380045,0.376685,581.2,291.1,393.1,2.8673480564708647,22.92369141,1.1789297300041652,150.3,1456.7,6.3,2.0
24,True,no_org,CPI_high_freq,0.53457172,0.217934,0.533591,0.16382,0.7939700000000001,0.977955,0.875427,14.2,7.6,87.9,3.1983987610150217,16.30848441,0.5936792199732736,55.4,1551.6,6.3,2.0
25,False,with_org,CPI_high_freq,0.57124244,0.254312,0.426752,0.157577,0.7990389999999999,0.9036009999999999,0.8472480000000001,431.8,216.4,87.9,3.1983987610150217,16.30848441,2.7432957499753683,55.4,1551.6,6.3,2.0
26,False,no_org,CPI_high_freq,0.59178356,0.238145,0.46800300000000006,0.16042700000000001,0.79486,0.9405789999999999,0.860735,208.8,104.9,87.9,3.1983987610150217,16.30848441,0.5936792199732736,55.4,1551.6,6.3,2.0
27,True,with_org,CPI_high_freq,0.59470444,0.222851,0.528234,0.164391,0.794829,0.9683379999999999,0.871945,32.0,16.5,87.9,3.1983987610150217,16.30848441,2.7432957499753683,55.4,1551.6,6.3,2.0
28,True,with_org,CPI_cardiac,0.56405658,0.286308,0.341073,0.24566499999999997,0.409925,0.1353089,0.170933,53.0,27.0,385.2,2.8015126012764364,26.28283362,3.4416465399903244,130.3,1476.7,6.5,2.0
29,True,no_org,CPI_cardiac,0.5553896700000001,0.282292,0.342858,0.24371299999999999,0.431307,0.13778859999999998,0.171613,46.2,23.6,385.2,2.8015126012764364,26.28283362,1.191444710001815,130.3,1476.7,6.5,2.0
30,False,with_org,CPI_cardiac,0.54835367,0.350893,0.207144,0.24833599999999997,0.35523,0.40040200000000004,0.371926,672.0,336.5,385.2,2.8015126012764364,26.28283362,3.4416465399903244,130.3,1476.7,6.5,2.0
31,False,no_org,CPI_cardiac,0.5564799,0.34152,0.223215,0.24511699999999997,0.367247,0.37743000000000004,0.366885,572.0,286.5,385.2,2.8015126012764364,26.28283362,1.191444710001815,130.3,1476.7,6.5,2.0
32,False,no_org,CPI+fingerprint_mid_freq,0.58952385,0.406646,0.1324998,0.263396,0.45254399999999995,0.524531,0.48395299999999997,902.6,451.8,126.0,2.8704907587220023,16.34563773,0.8327893300331197,103.2,2043.8,6.2,2.0
33,False,with_org,CPI+fingerprint_mid_freq,0.58308061,0.413841,0.143279,0.256865,0.445412,0.516046,0.475448,883.2,442.1,126.0,2.8704907587220023,16.34563773,3.554015149991028,103.2,2043.8,6.2,2.0
34,True,no_org,CPI+fingerprint_mid_freq,0.60861055,0.35531199999999996,0.257001,0.255819,0.527549,0.367706,0.429105,135.6,68.3,126.0,2.8704907587220023,16.34563773,0.8327893300331197,103.2,2043.8,6.2,2.0
35,True,with_org,CPI+fingerprint_mid_freq,0.59719294,0.366073,0.250548,0.257132,0.505048,0.37726099999999996,0.42864800000000003,170.2,85.6,126.0,2.8704907587220023,16.34563773,3.554015149991028,103.2,2043.8,6.2,2.0
