,XofN_none N/A,XofN VarRed Ung,XofN VarRed Org,XofN Vouk Ung,XofN Vouk Org
XofN_none N/A,1.0,0.855,1.0,0.578,0.265
XofN VarRed Ung,0.855,1.0,0.899,0.096,0.022
XofN VarRed Org,1.0,0.899,1.0,0.51,0.216
XofN Vouk Ung,0.578,0.096,0.51,1.0,0.985
XofN Vouk Org,0.265,0.022,0.216,0.985,1.0
