UMLS_id	MedDRA_ADR_level	MedDRA_ADR_id	MedDRA_ADR_name
C0001169	LT	10000534	Acquired coagulation factor deficiency
C0001170	OL	10000536	Acquired deformities of auricle or pinna
C0001171	OL	10000541	Acquired deformity of chest and rib
C0001175	LT	10000565	Acquired immunodeficiency syndrome
C0001175	PT	10000565	Acquired immunodeficiency syndrome
C0001175	LT	10048476	Acquired immunodeficiency syndrome NOS
C0001175	HT	10052740	Acquired immunodeficiency syndromes
C0001175	LT	10001509	AIDS
C0001175	OL	10000562	Acquired immune deficiency syndr
C0001175	LT	10000563	Acquired immune deficiency syndrome
C0001175	LT	10003813	Autoimmune deficiency syndrome
C0001175	LT	10000566	Acquired immunodeficiency syndrome, unspecified
C0001175	LT	10000564	Acquired immuno deficiency syndrome
C0001193	LT	10002943	Apert's syndrome
C0001193	PT	10002943	Apert's syndrome
C0001197	LT	10000593	Acrodermatitis
C0001198	LT	10000598	Acrodynia
C0001198	PT	10000598	Acrodynia
C0001198	LT	10050259	Erythredema polyneuropathy
C0001198	LT	10050264	Feer's disease
C0001198	LT	10013115	Disease pink
C0001198	LT	10050262	Swift disease
C0001198	LT	10050260	Bilderbeck's disease
C0001198	LT	10050263	Swift-Feer disease
C0001198	LT	10050261	Selter's disease
C0001206	LT	10000599	Acromegaly
C0001206	PT	10000599	Acromegaly
C0001231	LT	10014146	Ectopic ACTH syndrome
C0001231	PT	10014146	Ectopic ACTH syndrome
C0001231	LT	10014156	Ectopic corticotropin syndrome
C0001231	LT	10014155	Ectopic corticotrophin syndrome
C0001261	LT	10000620	Actinomycosis
C0001261	PT	10000620	Actinomycosis
C0001261	LT	10000624	Actinomycotic infection of unspecified site
C0001261	OL	10000626	Actinomycotic infections
C0001261	HT	10000627	Actinomycotic infectious disorders
C0001263	LT	10000621	Actinomycotic abdominal infection
C0001263	PT	10000621	Actinomycotic abdominal infection
C0001263	LT	10000049	Abdominal actinomycotic infection
C0001264	LT	10008337	Cervicofacial actinomycotic infection
C0001265	OL	10000623	Actinomycotic infection of other specified sites
C0001306	LT	10000649	Acute alcoholic hepatitis
C0001308	OL	10000670	Acute and subacute necrosis of liver
C0001309	LT	10000681	Acute atopic conjunctivitis
C0001311	LT	10000686	Acute bronchiolitis
C0001317	OL	10000736	Acute erythremia and erythroleukemia
C0001317	OL	10000735	Acute erythraemia and erythroleukaemia
C0001327	LT	10000823	Acute laryngitis
C0001327	LT	10023875	Laryngitis (acute)
C0001327	LT	10023876	Laryngitis acute NOS
C0001339	LT	10033647	Pancreatitis acute
C0001339	PT	10033647	Pancreatitis acute
C0001339	LT	10000971	Acute pancreatitis
C0001342	LT	10001000	Acute periodontitis
C0001344	LT	10001002	Acute pharyngitis
C0001349	LT	10048998	Acute phase reaction
C0001349	PT	10048998	Acute phase reaction
C0001355	OL	10001050	Acute renal failure with other specified pathological lesion in kidney
C0001360	LT	10043780	Thyroiditis acute
C0001360	PT	10043780	Thyroiditis acute
C0001360	LT	10001092	Acute thyroiditis
C0001361	LT	10001093	Acute tonsillitis
C0001361	PT	10001093	Acute tonsillitis
C0001361	LT	10044009	Tonsillitis acute NOS
C0001363	LT	10001108	Acute vascular insufficiency of intestine
C0001364	LT	10070815	Acute yellow liver atrophy
C0001364	PT	10070815	Acute yellow liver atrophy
C0001364	OL	10003695	Atrophy acute yellow liver
C0001365	OL	10001111	Acute, but ill-defined, cerebrovascular disease
C0001396	LT	10042074	Stokes-Adams syndrome
C0001396	LT	10042073	Stokes Adams syndrome
C0001396	LT	10001115	Adams-Stokes syndrome
C0001396	PT	10001115	Adams-Stokes syndrome
C0001396	LT	10001114	Adams Stokes syndrome
C0001396	LT	10001112	Adam-Stokes syndrome
C0001396	LT	10042785	Syndrome Adams-Stokes
C0001396	LT	10042850	Syndrome Stokes-Adams
C0001396	LT	10027972	Morgagni-Adam's Stokes syndrome
C0001396	LT	10001113	Adams Stokes attack
C0001396	LT	10027971	Morgagni's disease
C0001396	LT	10041473	Spens' syndrome
C0001403	LT	10001130	Addison's disease
C0001403	PT	10001130	Addison's disease
C0001403	LT	10013096	Disease Addison's
C0001403	LT	10052381	Primary adrenal insufficiency
C0001403	PT	10052381	Primary adrenal insufficiency
C0001403	LT	10036696	Primary hypoadrenalism
C0001416	LT	10001137	Adenitis
C0001418	LT	10001141	Adenocarcinoma
C0001418	PT	10001141	Adenocarcinoma
C0001418	LT	10001166	Adenocarcinoma NOS
C0001422	LT	10072991	Adenofibroma
C0001425	LT	10001230	Adenoidectomy
C0001425	PT	10001230	Adenoidectomy
C0001427	LT	10051223	Adenoiditis
C0001427	PT	10051223	Adenoiditis
C0001429	LT	10070460	Adenolymphoma
C0001429	PT	10070460	Adenolymphoma
C0001429	LT	10074291	Papillary cystadenoma lymphomatosum
C0001429	LT	10074288	Warthin's tumor
C0001429	LT	10074292	Warthin's tumour
C0001430	LT	10001231	Adenoma
C0001430	LT	10001236	Adenoma NOS
C0001430	LT	10001233	Adenoma benign
C0001430	PT	10001233	Adenoma benign
C0001430	LT	10001234	Adenoma benign NOS
C0001485	OL	10001263	Adenovirus infection in conditions classified elsewhere and of unspecified site
C0001486	LT	10060931	Adenovirus infection
C0001486	PT	10060931	Adenovirus infection
C0001486	LT	10001264	Adenovirus infection NOS
C0001510	LT	10060932	Postoperative adhesion
C0001510	PT	10060932	Postoperative adhesion
C0001510	LT	10048548	Adhesions NOS postoperative
C0001511	LT	10059837	Adhesion
C0001511	PT	10059837	Adhesion
C0001519	LT	10020353	Holmes-Adie syndrome
C0001529	LT	10001294	Adiposis dolorosa
C0001529	PT	10001294	Adiposis dolorosa
C0001529	LT	10012421	Dercum's disease
C0001539	LT	10001297	Adjustment disorder with depressed mood
C0001539	PT	10001297	Adjustment disorder with depressed mood
C0001540	LT	10001298	Adjustment disorder with disturbance of conduct
C0001540	PT	10001298	Adjustment disorder with disturbance of conduct
C0001540	LT	10001309	Adjustment reaction with predominant disturbance of conduct
C0001541	LT	10001300	Adjustment disorder with mixed disturbance of emotion and conduct
C0001541	PT	10001300	Adjustment disorder with mixed disturbance of emotion and conduct
C0001541	LT	10001306	Adjustment reaction with mixed disturbance of emotions and conduct
C0001546	HT	10001301	Adjustment disorders
C0001546	LT	10001295	Adjustment disorder NOS
C0001546	LT	10061621	Adjustment disorder
C0001546	PT	10061621	Adjustment disorder
C0001548	LT	10001305	Adjustment reaction with brief depressive reaction
C0001577	LT	10001317	Adnexitis
C0001577	LT	10046762	Uterine adnexitis
C0001578	LT	10001318	Adolescence
C0001578	PT	10001318	Adolescence
C0001593	LT	10001322	Adoption
C0001593	PT	10001322	Adoption
C0001621	LT	10045767	Unspecified disorder of adrenal glands
C0001621	OL	10045839	Unspecified disorders of adrenal glands
C0001621	LT	10001347	Adrenal disorder
C0001621	PT	10001347	Adrenal disorder
C0001621	LT	10001348	Adrenal disorder NOS
C0001621	OL	10013186	Disorder adrenal (NOS)
C0001621	HG	10001353	Adrenal gland disorders
C0001621	OL	10013293	Disorders of adrenal glands
C0001622	LT	10020564	Hyperadrenocorticism
C0001622	PT	10020564	Hyperadrenocorticism
C0001622	LT	10020562	Hyperadrenalism
C0001622	PT	10020562	Hyperadrenalism
C0001622	LT	10001332	Adrenal cortex hyperfunction
C0001622	LT	10020609	Hypercorticism adrenal
C0001622	LT	10001365	Adrenal hypercorticism
C0001622	LT	10020612	Hypercortisonism
C0001622	LT	10020611	Hypercortisolism
C0001622	HT	10001341	Adrenal cortical hyperfunctions
C0001622	LT	10020561	Hyperadrenalcorticalism
C0001622	LT	10020563	Hyperadrenocorticalism
C0001622	LT	10020610	Hypercorticoidism
C0001622	PT	10020610	Hypercorticoidism
C0001623	LT	10022460	Insufficiency adrenal
C0001623	LT	10001367	Adrenal insufficiency
C0001623	PT	10001367	Adrenal insufficiency
C0001623	LT	10001369	Adrenal insufficiency NOS
C0001623	LT	10020936	Hypoadrenalism
C0001623	LT	10001366	Adrenal hypofunction
C0001623	LT	10020979	Hypofunction adrenal
C0001624	LT	10028981	Neoplasm adrenal
C0001624	LT	10061588	Adrenal neoplasm
C0001624	PT	10061588	Adrenal neoplasm
C0001624	LT	10001375	Adrenal neoplasm NOS
C0001624	HT	10001376	Adrenal neoplasms
C0001627	LT	10010323	Congenital adrenal hyperplasia
C0001632	LT	10061622	Adrenalectomy
C0001632	PT	10061622	Adrenalectomy
C0001632	LT	10001386	Adrenalectomy NOS
C0001678	LT	10001405	Adult maltreatment syndrome
C0001707	LT	10001431	Aerophagy
C0001707	LT	10052813	Aerophagia
C0001707	PT	10052813	Aerophagia
C0001707	LT	10001533	Air swallowing
C0001707	LT	10037185	Psychogenic aerophagia
C0001723	OL	10001448	Affective psychoses
C0001723	LT	10001450	Affective psychosis
C0001723	LT	10037235	Psychosis affective
C0001723	LT	10045620	Unspecified affective psychosis
C0001723	LT	10001451	Affective psychosis, unspecified
C0001727	LT	10056245	Afferent loop syndrome
C0001727	PT	10056245	Afferent loop syndrome
C0001733	LT	10001453	Afibrinogenemia
C0001733	LT	10052651	Afibrinogenaemia
C0001733	LT	10016075	Factor I deficiency
C0001733	PT	10016075	Factor I deficiency
C0001733	LT	10012130	Deficiency factor I
C0001762	LT	10001463	After images
C0001768	LT	10001471	Agammaglobulinemia
C0001768	LT	10001470	Agammaglobulinaemia
C0001807	LT	10062375	Aggressive behavior
C0001807	LT	10001490	Aggressive behaviour
C0001807	LT	10001494	Aggressiveness
C0001807	LT	10001488	Aggression
C0001807	PT	10001488	Aggression
C0001816	LT	10048663	Agnosia
C0001816	PT	10048663	Agnosia
C0001818	LT	10001502	Agoraphobia
C0001818	PT	10001502	Agoraphobia
C0001818	LT	10016279	Fear of open spaces
C0001818	PT	10016279	Fear of open spaces
C0001819	LT	10001505	Agoraphobia without mention of panic attacks
C0001819	LT	10001504	Agoraphobia without a history of panic disorder
C0001824	LT	10001507	Agranulocytosis
C0001824	PT	10001507	Agranulocytosis
C0001824	LT	10018687	Granulocytopenia
C0001824	PT	10018687	Granulocytopenia
C0001825	LT	10001508	Agraphia
C0001825	PT	10001508	Agraphia
C0001849	LT	10065040	AIDS dementia complex
C0001849	PT	10065040	AIDS dementia complex
C0001849	LT	10001516	AIDS-dementia complex
C0001849	LT	10012277	Dementia due to HIV disease
C0001849	LT	10001510	AIDS dementia
C0001849	LT	10001523	AIDS-related dementia
C0001849	LT	10020196	HIV-related dementia
C0001857	LT	10001513	AIDS related complex
C0001857	PT	10001513	AIDS related complex
C0001857	LT	10003076	ARC
C0001857	LT	10000567	Acquired immunodeficiency syndrome-related complex, unspecified
C0001860	LT	10001524	Ainhum
C0001860	PT	10001524	Ainhum
C0001882	LT	10001532	Air sickness
C0001883	LT	10001536	Airway obstruction NOS
C0001883	LT	10001539	Airways obstruction
C0001889	LT	10001542	Akinetic mutism
C0001889	LT	10063030	Coma vigil
C0001906	LT	10001555	Alastrim
C0001916	LT	10001557	Albinism
C0001916	PT	10001557	Albinism
C0001925	LT	10001580	Albuminuria
C0001925	PT	10001580	Albuminuria
C0001940	LT	10001593	Alcohol amnestic syndrome
C0001940	LT	10023490	Korsakov's psychosis, alcoholic
C0001940	LT	10056424	Korsakoff's psychosis alcoholic
C0001940	OL	10023486	Korsakoff's psychosis (alcoholic)
C0001948	LT	10048921	Alcohol use
C0001948	PT	10048921	Alcohol use
C0001948	HT	10049180	Alcohol product use
C0001950	LT	10021249	Idiosyncratic alcohol intoxication
C0001950	PT	10021249	Idiosyncratic alcohol intoxication
C0001950	LT	10034154	Pathological drunkenness
C0001957	LT	10001610	Alcohol withdrawal delirium
C0001957	LT	10012225	Delirium tremens
C0001957	PT	10012225	Delirium tremens
C0001969	LT	10001599	Alcohol intoxication
C0001969	LT	10013768	Drunkenness
C0001973	LT	10001639	Alcoholism
C0001973	PT	10001639	Alcoholism
C0001973	LT	10001594	Alcohol dependence syndrome
C0001973	LT	10063499	Alcohol abuse, continuous drinking behaviour
C0001973	LT	10001586	Alcohol abuse, continuous drinking behavior
C0001973	LT	10013037	Dipsomania
C0001973	LT	10049894	Chronic alcoholism
C0001973	LT	10001585	Alcohol abuse chronic
C0001973	LT	10001590	Alcohol addiction
C0002018	LT	10001663	Alexia
C0002018	PT	10001663	Alexia
C0002019	OL	10001664	Alexia and dyslexia
C0002063	LT	10001680	Alkalosis
C0002063	PT	10001680	Alkalosis
C0002063	LT	10001687	Alkalosis NOS
C0002064	LT	10038664	Respiratory alkalosis
C0002064	PT	10038664	Respiratory alkalosis
C0002064	LT	10001688	Alkalosis respiratory
C0002064	HT	10038663	Respiratory alkaloses
C0002066	LT	10001689	Alkaptonuria
C0002066	PT	10001689	Alkaptonuria
C0002103	LT	10003644	Atopic rhinitis
C0002103	LT	10039086	Rhinitis allergic atopic
C0002104	OL	10001725	Allergic rhinitis due to other allergen
C0002170	LT	10001760	Alopecia
C0002170	PT	10001760	Alopecia
C0002170	HT	10001769	Alopecias
C0002170	LT	10004082	Baldness
C0002170	LT	10019045	Hair loss
C0002170	LT	10019050	Hair thinning
C0002170	LT	10001768	Alopecia, unspecified
C0002171	LT	10001761	Alopecia areata
C0002171	PT	10001761	Alopecia areata
C0002173	LT	10056506	Follicular mucinosis
C0002173	PT	10056506	Follicular mucinosis
C0002173	LT	10056538	Alopecia mucinosa
C0002181	LT	10001765	Alopecia syphilitic
C0002181	PT	10001765	Alopecia syphilitic
C0002181	LT	10042898	Syphilitic alopecia
C0002182	LT	10069923	Traction alopecia
C0002312	MTH_LT	10001802	Alpha thalassemia
C0002312	MTH_LT	10001817	Alpha-thalassemia
C0002312	LT	10001802	Alpha thalassaemia
C0002312	LT	10001817	Alpha-thalassaemia
C0002312	LT	10043390	Thalassaemia alpha
C0002312	PT	10043390	Thalassaemia alpha
C0002312	LT	10054659	Thalassemia alpha
C0002390	LT	10015887	Extrinsic allergic alveolitis
C0002390	LT	10001891	Alveolitis extrinsic allergic
C0002390	LT	10001890	Alveolitis allergic
C0002390	PT	10001890	Alveolitis allergic
C0002390	LT	10035743	Pneumonitis allergic
C0002390	LT	10035754	Pneumonitis hypersensitivity
C0002390	OL	10045623	Unspecified allergic alveolitis and pneumonitis
C0002390	OL	10004068	Baggasosis
C0002393	LT	10057973	Alveoloplasty
C0002393	PT	10057973	Alveoloplasty
C0002395	LT	10001896	Alzheimer's disease
C0002395	LT	10012271	Dementia Alzheimer's type
C0002395	PT	10012271	Dementia Alzheimer's type
C0002395	LT	10012292	Dementia of the Alzheimer's type NOS
C0002418	LT	10001906	Amblyopia
C0002418	PT	10001906	Amblyopia
C0002418	LT	10001911	Amblyopia NOS
C0002418	LT	10001915	Amblyopia, unspecified
