,pruning,include_original_features,dataset,averageAUROC,HammingLoss,SubsetAccuracy,RankingLoss,MacroPrecision,MacroRecall,MacroFOne,nodes,leaves,groups,avg_group_features,gen_XofN_time,training_time
0,True,with_org,fingerprint_mid_freq,0.6007811000000001,0.373043,0.23060999999999998,0.256999,0.49294200000000005,0.393977,0.434778,152.2,76.6,110.1,4.890394778789274,94.66843806000107,1.3041931400002795
1,True,no_org,fingerprint_mid_freq,0.59894322,0.37115,0.236687,0.25572,0.497705,0.38588300000000003,0.43135,145.2,73.1,110.1,4.890394778789274,94.66843806000107,0.6746394800007692
2,False,with_org,fingerprint_mid_freq,0.59154767,0.41072699999999995,0.135056,0.253328,0.45599100000000004,0.553948,0.497685,852.8,426.9,110.1,4.890394778789274,94.66843806000107,1.3041931400002795
3,False,no_org,fingerprint_mid_freq,0.58674112,0.41715800000000003,0.1267125,0.256312,0.44788100000000003,0.533521,0.484426,877.2,439.1,110.1,4.890394778789274,94.66843806000107,0.6746394800007692
4,True,with_org,fingerprint_low_freq,0.52686431,0.249796,0.36296,0.292109,0.36412199999999995,0.070967,0.053801,27.2,14.1,112.0,4.813190017627216,94.66756460999969,1.3234386599986465
5,True,no_org,fingerprint_low_freq,0.52874787,0.25017100000000003,0.363716,0.291405,0.348481,0.069721,0.07649500000000001,27.6,14.3,112.0,4.813190017627216,94.66756460999969,0.6921981099992991
6,False,with_org,fingerprint_low_freq,0.5873139700000001,0.349268,0.170853,0.251173,0.329644,0.41652300000000003,0.363211,820.4,410.7,112.0,4.813190017627216,94.66756460999969,1.3234386599986465
7,False,no_org,fingerprint_low_freq,0.57738154,0.354345,0.180703,0.254452,0.31901999999999997,0.40297,0.352347,834.2,417.6,112.0,4.813190017627216,94.66756460999969,0.6921981099992991
8,True,no_org,fingerprint_high_freq,0.58756643,0.22328,0.505314,0.163286,0.79852,0.9557439999999999,0.869219,42.4,21.7,110.9,4.850751347842868,94.53743949999989,0.6787980199995218
9,False,no_org,fingerprint_high_freq,0.5761696599999999,0.281907,0.363255,0.157891,0.801617,0.8471439999999999,0.822989,609.0,305.0,110.9,4.850751347842868,94.53743949999989,0.6787980199995218
10,False,with_org,fingerprint_high_freq,0.58460113,0.272655,0.388363,0.152768,0.8037050000000001,0.857699,0.8293419999999999,586.8,293.9,110.9,4.850751347842868,94.53743949999989,1.3116913600009865
11,True,with_org,fingerprint_high_freq,0.58187095,0.229109,0.5038009999999999,0.164321,0.7972859999999999,0.9474859999999999,0.865191,48.0,24.5,110.9,4.850751347842868,94.53743949999989,1.3116913600009865
12,True,with_org,fingerprint_cardiac,0.54521122,0.275884,0.356061,0.226161,0.365685,0.1180026,0.134812,55.8,28.4,111.0,4.841749408022344,94.11265354000061,1.3203840400004991
13,True,no_org,fingerprint_cardiac,0.5512277,0.272223,0.365151,0.228851,0.389389,0.1319709,0.139186,52.2,26.6,111.0,4.841749408022344,94.11265354000061,0.6959194899995055
14,False,with_org,fingerprint_cardiac,0.57099804,0.35757399999999995,0.194699,0.219752,0.325677,0.393775,0.353174,808.8,404.9,111.0,4.841749408022344,94.11265354000061,1.3203840400004991
15,False,no_org,fingerprint_cardiac,0.5648096600000001,0.35959599999999997,0.17500200000000002,0.21810800000000002,0.323412,0.393679,0.352215,826.4,413.7,111.0,4.841749408022344,94.11265354000061,0.6959194899995055
16,True,with_org,CPI_mid_freq,0.60434497,0.372887,0.23708100000000001,0.276778,0.5289189999999999,0.40767699999999996,0.455488,112.4,56.7,335.6,4.689974242242132,463.511626559998,2.4806665699994483
17,True,no_org,CPI_mid_freq,0.6015728,0.371407,0.237072,0.266449,0.5320539999999999,0.390953,0.44671199999999994,95.0,48.0,335.6,4.689974242242132,463.511626559998,0.9015396199996758
18,False,with_org,CPI_mid_freq,0.59592352,0.411165,0.1419084,0.261991,0.474367,0.544888,0.504438,718.8,359.9,335.6,4.689974242242132,463.511626559998,2.4806665699994483
19,False,no_org,CPI_mid_freq,0.59340187,0.408476,0.142872,0.26710599999999995,0.47815899999999995,0.5429269999999999,0.5060610000000001,705.0,353.0,335.6,4.689974242242132,463.511626559998,0.9015396199996758
20,False,with_org,CPI_low_freq,0.57943739,0.342712,0.178918,0.276324,0.36196799999999996,0.393311,0.37190599999999996,705.4,353.2,331.2,4.8458357309774325,459.8391640700007,2.5884701200004203
