,XofN_none N/A,XofN VarRed Ung,XofN VarRed Org,XofN Vouk Ung,XofN Vouk Org
XofN_none N/A,1.0,0.442,0.006,0.933,0.96
XofN VarRed Ung,0.442,1.0,0.41,0.899,0.855
XofN VarRed Org,0.006,0.41,1.0,0.064,0.048
XofN Vouk Ung,0.933,0.899,0.064,1.0,1.0
XofN Vouk Org,0.96,0.855,0.048,1.0,1.0
