ADR,Name,Frequency,Count
se__C0574960,Sacroiliitis,0.001,2
se__C0576995,Pharyngeal haemorrhage,0.001,2
se__C0577730,Family stress,0.001,2
se__C0549201,Asteatosis,0.001,2
se__C0035579,Rickets,0.001,2
se__C0036093,Salivary gland disorder,0.001,2
se__C0239234,Low set ears,0.001,2
se__C0238198,Gastrointestinal stromal tumour,0.001,2
se__C0238309,Ischaemic neuropathy,0.001,2
se__C0238463,Papillary thyroid cancer,0.001,2
se__C0036439,Scoliosis,0.001,2
se__C3160830,Prostatic dysplasia,0.001,2
se__C0003044,Animal bite,0.001,2
se__C3495700,Atypical fracture,0.001,1
se__C0000889,Acanthosis nigricans,0.001,1
se__C0000924,Accident,0.001,1
se__C0001198,Acrodynia,0.001,1
se__C0002891,Anaemia neonatal,0.001,1
se__C3160891,Hormone-dependent prostate cancer,0.001,1
se__C3160840,Macular pigmentation,0.001,1
se__C3160759,Tumour cell mobilisation,0.001,1
se__C2987469,Substance-induced psychotic disorder,0.001,1
se__C0003466,Anal atresia,0.001,1
se__C0003175,Anthrax,0.001,1
se__C0003119,Anophthalmos,0.001,1
se__C0003534,Aphakia,0.001,1
se__C0003496,Aortic rupture,0.001,1
se__C0003493,Aortic disorder,0.001,1
se__C0003492,Coarctation of the aorta,0.001,1
se__C0003950,Ascariasis,0.001,1
se__C0003910,Phonological disorder,0.001,1
se__C0003872,Psoriatic arthropathy,0.001,1
se__C0549334,Parotid duct obstruction,0.001,1
se__C0549322,Eyelid infection,0.001,1
se__C0549264,Sensation of blood flow,0.001,1
se__C0549229,Nail discomfort,0.001,1
se__C0576091,Knee deformity,0.001,1
se__C0574785,Lower urinary tract symptoms,0.001,1
se__C0564768,Genital infection male,0.001,1
se__C0560637,Genital injury,0.001,1
se__C0559938,Ileal perforation,0.001,1
se__C0549397,Nasal septum deviation,0.001,1
se__C0549395,Blood urea decreased,0.001,1
se__C0549393,Alcohol problem,0.001,1
se__C0549384,Hypotonic-hyporesponsive episode,0.001,1
se__C0553690,Reversible ischaemic neurological deficit,0.001,1
se__C0553686,Brain herniation,0.001,1
se__C0553681,Hypofibrinogenaemia,0.001,1
se__C0521546,Congenital joint malformation,0.001,1
se__C0521507,Injection site ulcer,0.001,1
se__C0589616,Genitourinary chlamydia infection,0.001,1
se__C0580531,White blood cell count abnormal,0.001,1
se__C0580412,Prothrombin time abnormal,0.001,1
se__C0580181,Jessner's lymphocytic infiltration,0.001,1
se__C0522757,Exposure to toxic agent,0.001,1
se__C0522214,Visual evoked potentials abnormal,0.001,1
se__C0522171,Sense of oppression,0.001,1
se__C0522042,Loss of control of legs,0.001,1
se__C0541767,Platelet aggregation abnormal,0.001,1
se__C0541754,Abscess sterile,0.001,1
se__C0549150,Pseudofolliculitis barbae,0.001,1
se__C0547000,Joint lock,0.001,1
se__C0546343,Mucosal erosion,0.001,1
se__C0549357,Abdominal adhesions,0.001,1
se__C0520575,Pyelonephritis acute,0.001,1
se__C0520564,Ileal ulcer,0.001,1
se__C0520563,Toxic dilatation of intestine,0.001,1
se__C0595876,Calcium intoxication,0.001,1
se__C0521208,Accident at home,0.001,1
se__C0521008,Screaming,0.001,1
se__C0520933,Spermatogenesis abnormal,0.001,1
se__C0520872,Stroke volume increased,0.001,1
se__C0520861,Venous pressure jugular increased,0.001,1
se__C0521506,Injection site paraesthesia,0.001,1
se__C0521496,Application site infection,0.001,1
se__C0521476,Nail bed infection,0.001,1
se__C0521471,Systemic lupus erythematosus rash,0.001,1
se__C0521620,Hydroureter,0.001,1
se__C0521619,Pelvi-ureteric obstruction,0.001,1
se__C0521554,Congenital vesicoureteric reflux,0.001,1
se__C0473117,Ischaemic hepatitis,0.001,1
se__C0685341,Congenital limb hyperextension,0.001,1
se__C0679429,Platelet dysfunction,0.001,1
se__C0679401,Vascular rupture,0.001,1
se__C0679254,Disease recurrence,0.001,1
se__C0677865,Brain stem glioma,0.001,1
se__C0496870,Benign hepatic neoplasm,0.001,1
se__C0483455,Prothrombin time ratio,0.001,1
se__C0476405,Pulmonary function test abnormal,0.001,1
se__C0476369,Echocardiogram abnormal,0.001,1
se__C0520546,Pulmonary microemboli,0.001,1
se__C0520854,Mean arterial pressure decreased,0.001,1
se__C0520757,Delayed recovery from anaesthesia,0.001,1
se__C0520736,Coombs positive haemolytic anaemia,0.001,1
se__C0520729,Subconjunctival cyst,0.001,1
se__C0695236,Tracheostomy infection,0.001,1
se__C0694575,Macular fibrosis,0.001,1
se__C0427564,Platelet count normal,0.001,1
se__C0427144,Toe walking,0.001,1
se__C0426959,Akinaesthesia,0.001,1
se__C0426900,Tibial torsion,0.001,1
se__C0426597,Fluid intake reduced,0.001,1
se__C0435632,Hand fracture,0.001,1
se__C0456103,Sepsis neonatal,0.001,1
se__C0438254,Urine electrolytes abnormal,0.001,1
se__C0438241,Blood urea normal,0.001,1
se__C0475319,Pelvic haematoma,0.001,1
se__C0474529,Haemoglobin normal,0.001,1
se__C0473311,Haemorrhagic ovarian cyst,0.001,1
se__C0473120,Intra-abdominal haematoma,0.001,1
se__C0406305,Eosinophilic pustular folliculitis,0.001,1
se__C0406209,Photoonycholysis,0.001,1
se__C0405139,Obstetric procedure complication,0.001,1
se__C0740314,Ultrasound breast abnormal,0.001,1
se__C0740292,5'nucleotidase increased,0.001,1
se__C0740281,Multiple allergies,0.001,1
se__C0740279,Cerebellar atrophy,0.001,1
se__C0740277,Bile duct cancer,0.001,1
se__C0729549,Gastrointestinal fungal infection,0.001,1
se__C0702163,Trichorrhexis,0.001,1
se__C0423701,Urinary tract pain,0.001,1
se__C0423172,Dacryocanaliculitis,0.001,1
se__C0424786,Postoperative fever,0.001,1
se__C0424082,Hypnopompic hallucination,0.001,1
se__C0423820,Nail ridging,0.001,1
se__C0401013,Fungal peritonitis,0.001,1
se__C0400877,Postoperative ileus,0.001,1
se__C0742545,Colonic abscess,0.001,1
se__C0742224,Candida cervicitis,0.001,1
se__C0741921,Cardiac enzymes increased,0.001,1
se__C0741165,Aortic embolus,0.001,1
se__C0741160,Aortic aneurysm rupture,0.001,1
se__C0741132,Antibody test positive,0.001,1
se__C0740832,End stage AIDS,0.001,1
se__C0412784,Analgesic therapy,0.001,1
se__C0410919,Bradycardia foetal,0.001,1
se__C0410740,Finger deformity,0.001,1
se__C0406650,Linear IgA disease,0.001,1
se__C0406484,Sebaceous hyperplasia,0.001,1
se__C0406458,Diffuse alopecia,0.001,1
se__C0393615,Familial tremor,0.001,1
se__C0392788,"Extranodal NK/T-cell lymphoma, nasal type",0.001,1
se__C0392707,Atopy,0.001,1
se__C0745103,Type IIa hyperlipidaemia,0.001,1
se__C0744369,Genital lesion,0.001,1
se__C0744235,Fungal sepsis,0.001,1
se__C0744130,Diabetic foot infection,0.001,1
se__C0743575,Oesophageal irritation,0.001,1
se__C0743525,Enterobacter sepsis,0.001,1
se__C0743295,Drug screen positive,0.001,1
se__C0742965,Eosinophilic cystitis,0.001,1
se__C0405106,Retained placenta or membranes,0.001,1
se__C0404445,Ovarian atrophy,0.001,1
se__C0403645,Atonic urinary bladder,0.001,1
se__C0403592,Chronic allograft nephropathy,0.001,1
se__C0403529,Goodpasture's syndrome,0.001,1
se__C0749106,Submandibular mass,0.001,1
se__C0748538,Scleral pigmentation,0.001,1
se__C0748055,Psychiatric decompensation,0.001,1
se__C0748023,Bacterial prostatitis,0.001,1
se__C0748019,Prostatic acid phosphatase increased,0.001,1
se__C0391996,Hepatic atrophy,0.001,1
se__C0376670,Alcoholic pancreatitis,0.001,1
se__C0392557,Cataract nuclear,0.001,1
se__C0392519,Calcium deficiency,0.001,1
se__C0392378,Gingival ulceration,0.001,1
se__C0399461,Oral mucosa erosion,0.001,1
se__C0398625,Protein C deficiency,0.001,1
se__C0395005,Polydipsia psychogenic,0.001,1
se__C0347197,Oral neoplasm benign,0.001,1
se__C0346989,Metastases to peritoneum,0.001,1
se__C0346421,Chronic eosinophilic leukaemia,0.001,1
se__C0345907,Hepatic angiosarcoma,0.001,1
se__C0345903,Anal skin tags,0.001,1
se__C0345217,Cloacal exstrophy,0.001,1
se__C0848377,Abdominal injury,0.001,1
se__C0847403,Infective tenosynovitis,0.001,1
se__C0812470,Abortion incomplete,0.001,1
se__C0752347,Dementia with Lewy bodies,0.001,1
se__C0751908,Vestibular neuronitis,0.001,1
se__C0751576,Vocal cord paresis,0.001,1
se__C0751436,Tetrahydrobiopterin deficiency,0.001,1
se__C0751265,Learning disability,0.001,1
se__C0750887,Adrenal gland cancer,0.001,1
se__C0341503,Peritonitis bacterial,0.001,1
se__C0341318,Enterocutaneous fistula,0.001,1
se__C0851647,Muscle tone disorder,0.001,1
se__C0851302,Shock hypoglycaemic,0.001,1
se__C0851043,Lipids increased,0.001,1
se__C0850638,Infected bites,0.001,1
se__C0848383,Eye ulcer,0.001,1
se__C0343869,Anal candidiasis,0.001,1
se__C0343378,Helicobacter gastritis,0.001,1
se__C0343361,Gastroenteritis adenovirus,0.001,1
se__C0343263,Chondrolysis,0.001,1
se__C0343065,Urticaria physical,0.001,1
se__C0342649,Vascular calcification,0.001,1
se__C0342592,Anion gap increased,0.001,1
se__C0349464,Wernicke-Korsakoff syndrome,0.001,1
se__C0347602,Retinal injury,0.001,1
se__C0852793,Blood cortisol increased,0.001,1
se__C0852696,Glucocorticoids decreased,0.001,1
se__C0852203,Fluoride increased,0.001,1
se__C0851883,Neisseria infection,0.001,1
se__C0851881,Enterococcal infection,0.001,1
se__C0340909,Arteriovenous fistula thrombosis,0.001,1
se__C0340643,Aortic dissection,0.001,1
se__C0340278,Atrial hypertrophy,0.001,1
se__C0340274,Gestational hypertension,0.001,1
se__C0342548,Early menarche,0.001,1
se__C0342490,Adrenal atrophy,0.001,1
se__C0341858,Adenomyosis,0.001,1
se__C0341751,Bladder necrosis,0.001,1
se__C0341512,Retroperitoneal haematoma,0.001,1
se__C0341505,Chemical peritonitis,0.001,1
se__C0339807,House dust allergy,0.001,1
se__C0339478,Arteriosclerotic retinopathy,0.001,1
se__C0339467,Retinopathy proliferative,0.001,1
se__C0339434,Choroidal effusion,0.001,1
se__C0338575,Superior sagittal sinus thrombosis,0.001,1
se__C0338573,Intracranial venous sinus thrombosis,0.001,1
se__C0338113,Sarcoma uterus,0.001,1
se__C0334634,Mantle cell lymphoma,0.001,1
se__C0853018,Blood thyroid stimulating hormone decreased,0.001,1
se__C0853015,Blood growth hormone increased,0.001,1
se__C0853013,Diverticular perforation,0.001,1
se__C0852970,Dacryoadenitis acquired,0.001,1
se__C0852962,Complication of delivery,0.001,1
se__C0852949,Arterial disorder,0.001,1
se__C0852921,Blood fibrinogen increased,0.001,1
se__C0852919,Animal scratch,0.001,1
se__C0333139,Pneumatosis,0.001,1
se__C0302858,Protein-losing gastroenteropathy,0.001,1
se__C0853050,Blood acid phosphatase increased,0.001,1
se__C0853040,Reaction to drug excipients,0.001,1
se__C0853035,Blood creatinine normal,0.001,1
se__C0853020,Blood oestrogen increased,0.001,1
se__C0334579,Anaplastic astrocytoma,0.001,1
se__C0334492,Malignant mesenchymoma,0.001,1
se__C0334082,Epidermal naevus,0.001,1
se__C0334040,Extraskeletal ossification,0.001,1
se__C0333912,Hypochromasia,0.001,1
se__C0333604,Chrysiasis,0.001,1
se__C0333582,Dystrophic calcification,0.001,1
se__C0333286,Splinter haemorrhages,0.001,1
se__C0340214,Tracheal fistula,0.001,1
se__C0281914,Musculoskeletal deformity,0.001,1
se__C0281863,Hepatitis C antibody positive,0.001,1
se__C0281860,Wound haematoma,0.001,1
se__C0853314,Soft tissue inflammation,0.001,1
se__C0853289,Blood bilirubin normal,0.001,1
se__C0853277,Pseudo-Bartter syndrome,0.001,1
se__C0853263,Blood bicarbonate,0.001,1
se__C0853227,Blood iron abnormal,0.001,1
se__C0853224,Activated partial thromboplastin time shortened,0.001,1
se__C0853203,Smear cervix normal,0.001,1
se__C0853198,Gastroenteritis yersinia,0.001,1
se__C0853150,Nerve conduction studies abnormal,0.001,1
se__C0853142,CD4 lymphocytes decreased,0.001,1
se__C0333271,Bloody discharge,0.001,1
se__C0853710,Blood prolactin decreased,0.001,1
se__C0853705,Blood immunoglobulin G decreased,0.001,1
se__C0853644,Eosinophil count abnormal,0.001,1
se__C0277986,Gingival oedema,0.001,1
se__C0277934,Aortic bruit,0.001,1
se__C0276651,Aspergilloma,0.001,1
se__C0281839,Oesophageal rupture,0.001,1
se__C0281361,Adenocarcinoma pancreas,0.001,1
se__C0280313,Oropharyngeal squamous cell carcinoma,0.001,1
se__C0278678,Metastatic renal cell carcinoma,0.001,1
se__C0278512,Osteosarcoma metastatic,0.001,1
se__C0278147,Radicular pain,0.001,1
se__C0302507,Parainfluenzae virus infection,0.001,1
se__C0282548,Leukostasis,0.001,1
se__C0282160,Aplasia cutis congenita,0.001,1
se__C0282005,Scrotal swelling,0.001,1
se__C0272118,Warm type haemolytic anaemia,0.001,1
se__C0271686,Diabetic autonomic neuropathy,0.001,1
se__C0271441,Otitis media chronic,0.001,1
se__C0853786,Blood sodium abnormal,0.001,1
se__C0853782,Blood creatine phosphokinase abnormal,0.001,1
se__C0853755,Blood osmolarity decreased,0.001,1
se__C0853749,Blood magnesium increased,0.001,1
se__C0276253,Pneumonia cytomegaloviral,0.001,1
se__C0276252,Cytomegalovirus hepatitis,0.001,1
se__C0276226,Herpes simplex encephalitis,0.001,1
se__C0276143,Viral pharyngitis,0.001,1
se__C0276141,Bronchitis viral,0.001,1
se__C0275378,Tobacco poisoning,0.001,1
se__C0274869,Metal poisoning,0.001,1
se__C0274714,Adrenergic syndrome,0.001,1
se__C0272396,Lymph node abscess,0.001,1
se__C0271093,Stargardt's disease,0.001,1
se__C0271036,Retinal scar,0.001,1
se__C0270971,Floppy infant,0.001,1
se__C0270934,Toxic neuropathy,0.001,1
se__C0270921,Axonal neuropathy,0.001,1
se__C0270844,Tonic convulsion,0.001,1
se__C0853939,Oral mucosal discolouration,0.001,1
se__C0853893,Device interaction,0.001,1
se__C0853885,Blood electrolytes decreased,0.001,1
se__C0853857,Cellulitis staphylococcal,0.001,1
se__C0853811,Croup infectious,0.001,1
se__C0272386,Tonsillar hypertrophy,0.001,1
se__C0272380,Tonsillar disorder,0.001,1
se__C0272315,Coagulation factor decreased,0.001,1
se__C0272195,Eosinopenia,0.001,1
se__C0272126,Evans syndrome,0.001,1
se__C0270736,Essential tremor,0.001,1
se__C0270639,Transverse sinus thrombosis,0.001,1
se__C0270549,Generalised anxiety disorder,0.001,1
se__C0270276,Grey syndrome neonatal,0.001,1
se__C0270274,Vomiting neonatal,0.001,1
se__C0269806,Failed induction of labour,0.001,1
se__C0854101,Urine sodium increased,0.001,1
se__C0854095,Drug level changed,0.001,1
se__C0854062,Blood fibrinogen decreased,0.001,1
se__C0854059,pH urine decreased,0.001,1
se__C0854058,pH urine increased,0.001,1
se__C0854028,Blood copper decreased,0.001,1
se__C0853974,Blood gonadotrophin decreased,0.001,1
se__C0853973,Blood gonadotrophin increased,0.001,1
se__C0271211,Erythropsia,0.001,1
se__C0271160,Cataract cortical,0.001,1
se__C0268854,Contracted bladder,0.001,1
se__C0268800,Congenital renal cyst,0.001,1
se__C0268621,Hypermethioninaemia,0.001,1
se__C0268543,N-acetylglutamate synthase deficiency,0.001,1
se__C0268407,Cardiac amyloidosis,0.001,1
se__C0268104,Purine metabolism disorder,0.001,1
se__C0854372,Mastication disorder,0.001,1
se__C0854359,Insulin autoimmune syndrome,0.001,1
se__C0854286,Eyelid function disorder,0.001,1
se__C0854210,Incomplete precocious puberty,0.001,1
se__C0854171,Temperature regulation disorder,0.001,1
se__C0854146,Blood test abnormal,0.001,1
se__C0854131,Vaginal wall congestion,0.001,1
se__C0854111,Blood triglycerides decreased,0.001,1
se__C0270769,Radiation myelopathy,0.001,1
se__C0267953,Pancreatic necrosis,0.001,1
se__C0267925,Bile duct stenosis,0.001,1
se__C0267834,Hepatic cyst,0.001,1
se__C0267491,Large intestinal ulcer,0.001,1
se__C0854693,Anaesthetic complication neurological,0.001,1
se__C0854567,Complications of transplant surgery,0.001,1
se__C0854532,Myopericarditis,0.001,1
se__C0854530,Human herpesvirus 6 infection,0.001,1
se__C0854504,Enterococcal bacteraemia,0.001,1
se__C0854495,Hepatitis F,0.001,1
se__C0854380,Blood insulin decreased,0.001,1
se__C0854375,Mucosal haemorrhage,0.001,1
se__C0269190,Uterine cervical squamous metaplasia,0.001,1
se__C0269188,Uterine cyst,0.001,1
se__C0269173,Fallopian tube cyst,0.001,1
se__C0268919,Scrotal disorder,0.001,1
se__C0265050,Vena cava thrombosis,0.001,1
se__C0264734,Dilatation atrial,0.001,1
se__C0855506,Red blood cells semen positive,0.001,1
se__C0855440,Pancreatic enzymes abnormal,0.001,1
se__C0855246,Abnormal sleep-related event,0.001,1
se__C0855235,Feelings of worthlessness,0.001,1
se__C0855217,Lack of spontaneous speech,0.001,1
se__C0854985,Lung adenocarcinoma stage I,0.001,1
se__C0854954,Ovarian germ cell teratoma benign,0.001,1
se__C0854706,Neonatal infection,0.001,1
se__C0267410,Mesenteric artery thrombosis,0.001,1
se__C0267158,Reflux gastritis,0.001,1
se__C0266316,Congenital hydronephrosis,0.001,1
se__C0266241,Congenital absence of bile ducts,0.001,1
se__C0266008,Breast malformation,0.001,1
se__C0268070,Copper deficiency,0.001,1
se__C0855677,Blood creatine phosphokinase MM increased,0.001,1
se__C0855675,Blood zinc decreased,0.001,1
se__C0855642,Blood uric acid abnormal,0.001,1
se__C0855624,Aspartate aminotransferase normal,0.001,1
se__C0855622,Aspartate aminotransferase decreased,0.001,1
se__C0855620,Alanine aminotransferase normal,0.001,1
se__C0855619,Alanine aminotransferase abnormal,0.001,1
se__C0855618,Alanine aminotransferase decreased,0.001,1
se__C0855521,Semen volume decreased,0.001,1
se__C0265962,Netherton's syndrome,0.001,1
se__C0265783,Pulmonary hypoplasia,0.001,1
se__C0265294,Metaphyseal dysplasia,0.001,1
se__C0265122,Pericardial disease,0.001,1
se__C0265072,Inferior vena cava syndrome,0.001,1
se__C2938972,Penile haematoma,0.001,1
se__C2938970,Penile curvature,0.001,1
se__C2937228,Tunnel vision,0.001,1
se__C2937222,Proctitis ulcerative,0.001,1
se__C2937220,Malformation venous,0.001,1
se__C0004377,Automatism,0.001,1
se__C0004352,Autism,0.001,1
se__C0004161,Sports injury,0.001,1
se__C0004903,Beckwith-Wiedemann syndrome,0.001,1
se__C0004767,Bartholin's cyst,0.001,1
se__C0005716,Blastomycosis,0.001,1
se__C0006261,Bronchial disorder,0.001,1
se__C0006157,Breech presentation,0.001,1
se__C0006705,Calcium metabolism disorder,0.001,1
se__C0006666,Calciphylaxis,0.001,1
se__C0006287,Bronchopulmonary dysplasia,0.001,1
se__C0263008,Skin fibrosis,0.001,1
se__C0856604,Rubber sensitivity,0.001,1
se__C0856152,Buccal mucosal roughening,0.001,1
se__C0856050,Diet refusal,0.001,1
se__C0855977,Carotene decreased,0.001,1
se__C0855931,Cardioactive drug level above therapeutic,0.001,1
se__C0855791,Mean cell volume increased,0.001,1
se__C0264733,Dilatation ventricular,0.001,1
se__C0264588,Spasmodic dysphonia,0.001,1
se__C0264523,Pulmonary ossification,0.001,1
se__C0264352,Bronchial ulceration,0.001,1
se__C0264344,Bronchitis bacterial,0.001,1
se__C0264309,Vocal cord disorder,0.001,1
se__C0264009,Osteodystrophy,0.001,1
se__C0263888,Back disorder,0.001,1
se__C0263634,Excessive granulation tissue,0.001,1
se__C0262428,Collagen-vascular disease,0.001,1
se__C0262414,Cervical vertebral fracture,0.001,1
se__C0262380,Asymptomatic bacteriuria,0.001,1
se__C0262365,Mammogram abnormal,0.001,1
se__C0259972,Ketogenic diet,0.001,1
se__C0859978,Amylase decreased,0.001,1
se__C0858318,Plasmodium falciparum infection,0.001,1
se__C0263536,Nail hypertrophy,0.001,1
se__C0263492,Ingrown hair,0.001,1
se__C0263445,Acne fulminans,0.001,1
se__C0263443,Acne pustular,0.001,1
se__C0263437,Acne infantile,0.001,1
se__C0263367,Koebner phenomenon,0.001,1
se__C0263355,Rash scarlatiniform,0.001,1
se__C0263111,Perineal abscess,0.001,1
se__C0263105,Abdominal wall abscess,0.001,1
se__C0861021,Insulin C-peptide increased,0.001,1
se__C0861020,Insulin C-peptide decreased,0.001,1
se__C0860805,Urine ketone body present,0.001,1
se__C0860594,Metastatic malignant melanoma,0.001,1
se__C0860514,Dreamy state,0.001,1
se__C0241228,Spleen palpable,0.001,1
se__C0241069,Skin erosion,0.001,1
se__C0241012,Serum ferritin decreased,0.001,1
se__C0240846,Pupillary deformity,0.001,1
se__C0241310,Suprapubic pain,0.001,1
se__C0242645,Blue toe syndrome,0.001,1
se__C0242231,Coronary artery stenosis,0.001,1
se__C0242648,Vertical infection transmission,0.001,1
se__C0262627,Seroma,0.001,1
se__C0262613,Renal mass,0.001,1
se__C0262493,Gallbladder polyp,0.001,1
se__C0238796,Bone marrow granuloma,0.001,1
se__C0238792,Bone lesion,0.001,1
se__C0877009,Muscle fibrosis,0.001,1
se__C0876998,Intracardiac thrombus,0.001,1
se__C0876991,Histiocytosis haematophagic,0.001,1
se__C0872380,Food craving,0.001,1
se__C0869523,Carditis,0.001,1
se__C0863087,Decreased immune responsiveness,0.001,1
se__C0863070,Catheter site related reaction,0.001,1
se__C0861111,Cardioactive drug level increased,0.001,1
se__C0239735,Gingival erythema,0.001,1
se__C0239549,Fat intolerance,0.001,1
se__C0239337,Limb deformity,0.001,1
se__C0240773,Plantar erythema,0.001,1
se__C0240173,Shift to the left,0.001,1
se__C0240059,Intraventricular haemorrhage,0.001,1
se__C0235984,Salivary duct obstruction,0.001,1
se__C0235972,Retinal deposits,0.001,1
se__C0235963,Rhinitis ulcerative,0.001,1
se__C0877107,Sinobronchitis,0.001,1
se__C0236816,Acute stress disorder,0.001,1
se__C0236174,Reticuloendothelial system stimulated,0.001,1
se__C0238461,Anaplastic thyroid cancer,0.001,1
se__C0238334,Pancreatic abscess,0.001,1
se__C0238113,Radiation oesophagitis,0.001,1
se__C0238097,Encephalitis cytomegalovirus,0.001,1
se__C0238051,Vasculitis cerebral,0.001,1
se__C0239279,Epididymal tenderness,0.001,1
se__C0239161,Dactylitis,0.001,1
se__C0239026,Chest X-ray normal,0.001,1
se__C0238874,Antineutrophil cytoplasmic antibody positive,0.001,1
se__C0235883,Uterine inflammation,0.001,1
se__C0235863,Delayed delivery,0.001,1
se__C0235849,Stomatitis necrotising,0.001,1
se__C0235839,Fever neonatal,0.001,1
se__C0235834,Upper motor neurone lesion,0.001,1
se__C0877183,Nail bed tenderness,0.001,1
se__C0877179,Injection site joint pain,0.001,1
se__C0877173,Food aversion,0.001,1
se__C0877169,Neonatal hyponatraemia,0.001,1
se__C0877134,Hernia pain,0.001,1
se__C0877131,Urinary tract infection fungal,0.001,1
se__C0877128,Application site pustules,0.001,1
se__C0877117,Cytomegalovirus gastritis,0.001,1
se__C0877113,Scar pain,0.001,1
se__C0236061,Haptoglobin increased,0.001,1
se__C0236036,Oculomucocutaneous syndrome,0.001,1
se__C0877325,Anal sphincter atony,0.001,1
se__C0877324,Urinary sediment present,0.001,1
se__C0877267,Peritonsillitis,0.001,1
se__C0877237,Traumatic fracture,0.001,1
se__C0877187,Ureterostomy site discomfort,0.001,1
se__C0235634,Costovertebral angle tenderness,0.001,1
se__C0235557,Pulmonary granuloma,0.001,1
se__C0235475,Electrocardiogram QRS complex prolonged,0.001,1
se__C0235833,Congenital diaphragmatic hernia,0.001,1
se__C0235802,Pupillary reflex impaired,0.001,1
se__C0235774,Somnolence neonatal,0.001,1
se__C0235770,Malignant ovarian cyst,0.001,1
se__C0235753,Haemangioma congenital,0.001,1
se__C0235950,Zinc deficiency,0.001,1
se__C0235927,Vestibular ataxia,0.001,1
se__C0235912,Hepatic haemorrhage,0.001,1
se__C0233774,Somatic hallucination,0.001,1
se__C0233773,Hypnagogic hallucination,0.001,1
se__C0233767,"Hallucination, tactile",0.001,1
se__C0877645,Urinary bladder polyp,0.001,1
se__C0877639,Gingival blister,0.001,1
se__C0877406,Performance status decreased,0.001,1
se__C0877339,Cardio-respiratory distress,0.001,1
se__C0877331,Abnormal clotting factor,0.001,1
se__C0234906,Erythema annulare,0.001,1
se__C0234543,Postictal state,0.001,1
se__C0234507,Anosognosia,0.001,1
se__C0234988,Dizziness exertional,0.001,1
se__C0234938,Injection site abscess sterile,0.001,1
se__C0234934,Urticaria vesiculosa,0.001,1
se__C0235260,Chloropsia,0.001,1
se__C0231255,Body mass index decreased,0.001,1
se__C0231246,Weight gain poor,0.001,1
se__C0919572,Agitation postoperative,0.001,1
se__C0919568,Impatience,0.001,1
se__C0878588,Sphincter of Oddi dysfunction,0.001,1
se__C0232267,Pericardial rub,0.001,1
se__C0232201,Sinus rhythm,0.001,1
se__C0233467,Inappropriate affect,0.001,1
se__C0233415,Distractibility,0.001,1
se__C0233718,Pressure of speech,0.001,1
se__C0233660,Thought blocking,0.001,1
se__C0233657,Flight of ideas,0.001,1
se__C0233612,Waxy flexibility,0.001,1
se__C0233519,Suspiciousness,0.001,1
se__C0233976,Clitoral engorgement,0.001,1
se__C0233931,Nocturnal emission,0.001,1
se__C0221239,Glomerulonephritis rapidly progressive,0.001,1
se__C0221204,Osteolysis,0.001,1
se__C0221147,Platelet production decreased,0.001,1
se__C0221046,Carotid sinus syndrome,0.001,1
se__C0919737,Platelet aggregation inhibition,0.001,1
se__C0919691,Anastomotic leak,0.001,1
se__C0919661,Heart alternation,0.001,1
se__C0919603,Application site urticaria,0.001,1
se__C0221348,Yellow nail syndrome,0.001,1
se__C0221281,Poikilocytosis,0.001,1
se__C0221265,Microcytosis,0.001,1
se__C0221260,Nail dystrophy,0.001,1
se__C0221255,Calcification metastatic,0.001,1
se__C0221782,Uterine mass,0.001,1
se__C0231557,Bone development abnormal,0.001,1
se__C0221030,Hyperviscosity syndrome,0.001,1
se__C0221002,Hyperparathyroidism primary,0.001,1
se__C0206762,Limb malformation,0.001,1
se__C0206633,Angiomyolipoma,0.001,1
se__C0206624,Hepatoblastoma,0.001,1
se__C0206180,Anaplastic large-cell lymphoma,0.001,1
se__C0919913,Nasal odour,0.001,1
se__C0919907,Pleural infection,0.001,1
se__C0919892,Blood pressure inadequately controlled,0.001,1
se__C0919890,Hyperfibrinogenaemia,0.001,1
se__C0919866,Eye naevus,0.001,1
se__C0919840,Osteocalcin increased,0.001,1
se__C0919777,Band neutrophil count increased,0.001,1
se__C0919768,Extremity contracture,0.001,1
se__C0221248,Gouty tophus,0.001,1
se__C0162810,Hypertrophic scar,0.001,1
se__C0162739,HELLP syndrome,0.001,1
se__C0162678,Neurofibromatosis,0.001,1
se__C0162638,Apoptosis,0.001,1
se__C0936223,Prostate cancer metastatic,0.001,1
se__C0920114,Urinary sediment abnormal,0.001,1
se__C0920016,Adnexa uteri cyst,0.001,1
se__C0919986,Infusion site oedema,0.001,1
se__C0919947,Thoracic vertebral fracture,0.001,1
se__C0206171,Community acquired infection,0.001,1
se__C0206093,Neuroectodermal neoplasm,0.001,1
se__C0178874,Neoplasm progression,0.001,1
se__C0178703,Hypertrophic osteoarthropathy,0.001,1
se__C0178417,Anhedonia,0.001,1
se__C0221045,Cardiac failure high output,0.001,1
se__C0221032,Congenital generalised lipodystrophy,0.001,1
se__C0158986,Hypoglycaemia neonatal,0.001,1
se__C0158353,Infective myositis,0.001,1
se__C0948277,Hydrometra,0.001,1
se__C0948266,Latent tetany,0.001,1
se__C0948257,Immunosuppressant drug level increased,0.001,1
se__C0948240,Thyroxine free decreased,0.001,1
se__C0948085,Corneal defect,0.001,1
se__C0948048,Malignant neoplasm progression,0.001,1
se__C0948036,Gastric ulcer helicobacter,0.001,1
se__C0948014,Red cell distribution width increased,0.001,1
