Dataset,XofN method,Ung or Org,Macro-AUROC,Hamming Loss,Subset Accuracy,Macro-F1,Macro-Recall,Macro-Precision,Ranking Loss,Nodes; Leaves,#XofN; #Feat/XofN,#Ung. Feats,XofN time (s); PCT tr. time (s)
CPI+fingerprint_high_freq,XofN Jac-max,Org,0.601,0.237,0.49,0.859,0.941,0.791,0.157,76.8; 38.9,430.0; 5.0,0.0,534.4; 3.5
CPI+fingerprint_cardiac,XofN Jac-max,Ung,0.583,0.269,0.357,0.223,0.176,0.43,0.222,77.8; 39.4,430.0; 5.0,0.0,527.2; 1.2
CPI+fingerprint_cardiac,XofN Jac-max,Org,0.584,0.273,0.361,0.253,0.187,0.418,0.225,85.2; 43.1,430.0; 5.0,0.0,527.2; 3.9
fingerprint_ten,XofN Jac-max,Ung,0.596,0.41,0.073,0.582,0.585,0.584,0.292,160.6; 80.8,108.0; 5.0,0.0,74.4; 0.7
fingerprint_ten,XofN Jac-max,Org,0.601,0.406,0.054,0.587,0.589,0.589,0.293,154.4; 77.7,108.0; 5.0,0.0,74.4; 1.3
CPI_ten,XofN Jac-max,Ung,0.609,0.397,0.067,0.605,0.612,0.611,0.276,95.4; 48.2,322.0; 5.0,0.0,343.3; 1.0
CPI_ten,XofN Jac-max,Org,0.622,0.392,0.056,0.606,0.609,0.615,0.272,103.4; 52.2,322.0; 5.0,0.0,343.3; 2.7
CPI+fingerprint_ten,XofN Jac-max,Ung,0.612,0.401,0.065,0.574,0.559,0.597,0.276,168.2; 84.6,430.0; 5.0,0.0,506.8; 1.1
CPI+fingerprint_ten,XofN Jac-max,Org,0.613,0.4,0.075,0.585,0.582,0.594,0.284,175.2; 88.1,430.0; 5.0,0.0,506.8; 3.6
fingerprint_ten_mid,XofN Jac-max,Ung,0.585,0.354,0.117,0.331,0.259,0.483,0.343,98.4; 49.7,108.0; 5.0,0.0,75.7; 0.7
fingerprint_ten_mid,XofN Jac-max,Org,0.575,0.368,0.103,0.329,0.267,0.454,0.342,109.6; 55.3,108.0; 5.0,0.0,75.7; 1.3
CPI_ten_mid,XofN Jac-max,Ung,0.581,0.352,0.116,0.32,0.271,0.515,0.372,71.0; 36.0,322.0; 5.0,0.0,349.7; 1.1
CPI_ten_mid,XofN Jac-max,Org,0.593,0.358,0.108,0.383,0.32,0.501,0.368,88.0; 44.5,322.0; 5.0,0.0,349.7; 3.1
CPI+fingerprint_ten_mid,XofN Jac-max,Ung,0.588,0.346,0.127,0.34,0.263,0.505,0.354,91.6; 46.3,430.0; 5.0,0.0,574.4; 1.2
CPI+fingerprint_ten_mid,XofN Jac-max,Org,0.59,0.347,0.128,0.347,0.272,0.501,0.348,109.0; 55.0,430.0; 5.0,0.0,574.4; 4.0
fingerprint_mid_freq,XofN VarRed,Ung,0.599,0.371,0.237,0.431,0.386,0.498,0.256,145.2; 73.1,110.1; 4.9,1.5675348553010051,94.7; 0.7
fingerprint_mid_freq,XofN VarRed,Org,0.601,0.373,0.231,0.435,0.394,0.493,0.257,152.2; 76.6,110.1; 4.9,1.5675348553010051,94.7; 1.3
