dataset,pruning,include_original_features,averageAUROC,FOne,Precision,Recall,nodes,leaves,#constr_feats,training_time
CPI+fingerprint_cardiac,True,no_org,0.5102415466666667,0.032269982710142524,0.1103223073223073,0.021585690741213998,6.5,3.75,18.283333333333335,0.3047766883314277
CPI+fingerprint_cardiac,True,with_org,0.5638867483333333,0.354239729624701,0.40639296559948596,0.3198227402216256,192.63333333333333,96.81666666666666,18.283333333333335,2.9547293483221435
CPI+fingerprint_high_freq,True,no_org,0.5320408633333333,0.8673993574570257,0.7802171153821722,0.9798942269641514,4.133333333333334,2.566666666666667,10.416666666666666,0.2879693316742002
CPI+fingerprint_high_freq,True,with_org,0.5862628116666667,0.8191881414416066,0.8013912736519971,0.8403024079457403,184.13333333333333,92.56666666666666,10.416666666666666,2.744903841663229
CPI+fingerprint_low_freq,True,no_org,0.5324407733333333,0.09394881908927415,0.23906778352366587,0.06670533991412046,19.73333333333333,10.366666666666665,91.61666666666667,0.42147983000419725
CPI+fingerprint_low_freq,True,with_org,0.591959495,0.38834417578382086,0.44807111917101855,0.3501986924115741,180.0666666666667,90.53333333333335,91.61666666666667,3.106202930000533
CPI+fingerprint_mid_freq,True,no_org,0.5456310364285715,0.1837959642102621,0.3393201464975226,0.14390554634911354,17.533333333333335,9.266666666666667,45.416666666666664,0.35162571404971893
CPI+fingerprint_mid_freq,True,with_org,0.5879677676190477,0.4659294048969014,0.4941320261143269,0.4461936149013794,268.45238095238096,134.72619047619048,45.416666666666664,2.8467780771432447
CPI_cardiac,True,no_org,0.5745564466666666,0.3547920650767062,0.44876838964695387,0.301542083098636,107.2,54.1,2153.383333333333,2.383219404993967
CPI_cardiac,True,with_org,0.55790715,0.3587231257631243,0.4299013595783628,0.3132428159644661,131.33333333333334,66.16666666666667,2153.383333333333,4.406708455008144
CPI_high_freq,True,no_org,0.5859788650000001,0.8567558321851121,0.7987348561610181,0.9257058878562799,52.333333333333336,26.666666666666668,1510.6000000000001,1.7167736349957219
CPI_high_freq,True,with_org,0.580267485,0.8449693384581485,0.8003011760648809,0.8969303236556064,86.36666666666667,43.68333333333334,1510.6000000000001,3.5091968216681075
CPI_low_freq,True,no_org,0.5801177583333333,0.33682044930230487,0.439698378777025,0.2799570404912553,95.10000000000001,48.050000000000004,2022.7,2.2516901983355635
CPI_low_freq,True,with_org,0.5763475383333333,0.3458947383885169,0.4267450124971746,0.2992566373099081,118.06666666666666,59.53333333333333,2022.7,4.222862851668227
CPI_mid_freq,True,no_org,0.605179425,0.4708519473432078,0.5532822253271122,0.41754623426262305,118.2,59.6,2266.133333333333,2.4250817083365592
CPI_mid_freq,True,with_org,0.60550482,0.4870715848472655,0.548557940108065,0.44314383534922897,160.6,80.8,2266.133333333333,4.390800048333282
fingerprint_cardiac,True,no_org,0.5290639383333333,0.0927605830898549,0.19838416269010897,0.06974829374632828,21.166666666666668,11.083333333333334,80.78333333333333,0.41761984333085517
fingerprint_cardiac,True,with_org,0.5805661733333334,0.34481956868685,0.3924517526113795,0.31805852106982513,192.13333333333333,96.56666666666666,80.78333333333333,1.1230425550039702
fingerprint_high_freq,True,no_org,0.5402608125925926,0.8728598525802536,0.7905193823897619,0.9764589278203254,5.707407407407406,3.353703703703703,16.133333333333333,0.3144977607285708
fingerprint_high_freq,True,with_org,0.5704198448148149,0.8307688624855176,0.8035551360715872,0.8612198306561084,161.31851851851852,81.15925925925926,16.133333333333333,1.0149476911167665
fingerprint_low_freq,True,no_org,0.5606177516666667,0.14660080522582744,0.30066555884252316,0.10708891759805939,35.13333333333333,18.066666666666666,99.25,0.47342876667001593
fingerprint_low_freq,True,with_org,0.5805022933333334,0.3474645263932134,0.39673607422778545,0.3169345824675811,190.83333333333334,95.91666666666667,99.25,1.1522426033411952
fingerprint_mid_freq,True,no_org,0.55430717,0.21010258753649072,0.3843883189673003,0.16196884377766954,16.733333333333334,8.866666666666667,13.700000000000001,0.3070870883394188
fingerprint_mid_freq,True,with_org,0.5767936216666667,0.45076248491631454,0.47303063460564704,0.43608299138825307,269.56666666666666,135.28333333333333,13.700000000000001,1.0367450999988554
