dataset,label,pruning,include_original_features,averageAUROC,FOne,Precision,Recall,nodes,leaves,#constr_feats,training_time
CPI+fingerprint_cardiac,se_C0003811,False,no_org,0.50309672,0.023454581594116473,0.16666666666666666,0.012730179028132994,6.8,3.9,4.1,0.2552765700151213
CPI+fingerprint_cardiac,se_C0003811,False,with_org,0.56689296,0.3866498538326386,0.3787870794873362,0.4009584823183124,385.4,193.2,4.1,3.0930476800189353
CPI+fingerprint_cardiac,se_C0003811,True,no_org,0.4958207,0.004651162790697674,0.03333333333333333,0.0025,1.6,1.3,4.1,0.2552765700151213
CPI+fingerprint_cardiac,se_C0003811,True,with_org,0.52597514,0.34144413095801723,0.4005151277373681,0.30367610952422436,209.4,105.2,4.1,3.0930476800189353
CPI+fingerprint_cardiac,se_C0016382,False,no_org,0.54575191,0.16992420044941053,0.2772310324881905,0.14065245478036176,86.2,43.6,33.7,0.357659379998222
CPI+fingerprint_cardiac,se_C0016382,False,with_org,0.5544830700000001,0.3883011470569195,0.3637226987413323,0.418099926233789,385.6,193.3,33.7,3.004776819993276
CPI+fingerprint_cardiac,se_C0016382,True,no_org,0.53638925,0.12099385665074283,0.4014576534576534,0.08383969389783344,20.2,10.6,33.7,0.357659379998222
CPI+fingerprint_cardiac,se_C0016382,True,with_org,0.53517707,0.35063136515825827,0.38890486964016374,0.32033641900488186,228.0,114.5,33.7,3.004776819993276
CPI+fingerprint_cardiac,se_C0018790,False,no_org,0.53319126,0.05178519611162161,0.11225490196078432,0.04607142857142857,41.8,21.4,33.7,0.33423776997951793
CPI+fingerprint_cardiac,se_C0018790,False,with_org,0.58545678,0.2954852276973292,0.2677976084285382,0.3353286276821746,281.6,141.3,33.7,3.114782609953545
CPI+fingerprint_cardiac,se_C0018790,True,no_org,0.51183612,0.029629629629629627,0.06666666666666667,0.020833333333333332,9.2,5.1,33.7,0.33423776997951793
CPI+fingerprint_cardiac,se_C0018790,True,with_org,0.54031613,0.2701038610750551,0.3411527149321267,0.23060077032044995,117.6,59.3,33.7,3.114782609953545
CPI+fingerprint_cardiac,se_C0018799,False,no_org,0.58974894,0.07723538056334235,0.18833333333333332,0.05206694033394932,41.4,21.2,15.0,0.30705008999211714
CPI+fingerprint_cardiac,se_C0018799,False,with_org,0.5509381999999999,0.37762985421044853,0.37214394326657235,0.386265018655173,375.4,188.2,15.0,2.7275560999754815
CPI+fingerprint_cardiac,se_C0018799,True,no_org,0.51375251,0.03246289424860853,0.11047619047619046,0.01921611721611722,4.6,2.8,15.0,0.30705008999211714
CPI+fingerprint_cardiac,se_C0018799,True,with_org,0.5492433099999999,0.3453482425946774,0.38624457520088457,0.3152399057341739,235.6,118.3,15.0,2.7275560999754815
CPI+fingerprint_cardiac,se_C0027051,False,no_org,0.57757731,0.06110070257611242,0.13235632183908047,0.04680523255813954,41.8,21.4,17.7,0.3106505899922922
CPI+fingerprint_cardiac,se_C0027051,False,with_org,0.61678866,0.39857387010736234,0.37278825428675166,0.4382458520331838,331.8,166.4,17.7,2.781153379986063
CPI+fingerprint_cardiac,se_C0027051,True,no_org,0.5036507,0.0058823529411764705,0.05,0.003125,2.4,1.7,17.7,0.3106505899922922
CPI+fingerprint_cardiac,se_C0027051,True,with_org,0.59747978,0.36924438150269806,0.41633908441436257,0.34245083639330887,186.4,93.7,17.7,2.781153379986063
CPI+fingerprint_cardiac,se_C0428977,False,no_org,0.54408252,0.017142857142857144,0.07333333333333333,0.009791666666666667,10.4,5.7,5.5,0.2637857300112955
