,pruning,include_original_features,dataset,averageAUROC,HammingLoss,SubsetAccuracy,RankingLoss,MacroPrecision,MacroRecall,MacroFOne,nodes,leaves,groups,avg_group_features,gen_XofN_time,training_time
28,True,with_org,CPI_cardiac,0.59166231,0.27262,0.344644,0.23076500000000003,0.480016,0.176035,0.251218,64.4,32.7,322.0,4.990683229813665,355.0262538199953,2.9612430899811444
29,True,no_org,CPI_cardiac,0.59091116,0.274999,0.346429,0.230536,0.47753100000000004,0.17663900000000002,0.248788,55.4,28.2,322.0,4.990683229813665,355.0262538199953,1.0138926800107584
30,False,with_org,CPI_cardiac,0.57062998,0.34255800000000003,0.198215,0.236045,0.370382,0.428137,0.392137,698.0,349.5,322.0,4.990683229813665,355.0262538199953,2.9612430899811444
31,False,no_org,CPI_cardiac,0.5679368499999999,0.348511,0.192856,0.23214800000000002,0.3579,0.40458299999999997,0.375114,684.2,342.6,322.0,4.990683229813665,355.0262538199953,1.0138926800107584
32,False,no_org,CPI+fingerprint_mid_freq,0.58526696,0.409893,0.1461527,0.258185,0.449148,0.537073,0.48718000000000006,910.8,455.9,430.0,4.993023255813953,537.506152609986,1.1406602799892425
33,False,with_org,CPI+fingerprint_mid_freq,0.5794058599999999,0.41134899999999996,0.1418241,0.258156,0.446422,0.516437,0.47701000000000005,884.4,442.7,430.0,4.993023255813953,537.506152609986,3.540347939997446
34,True,no_org,CPI+fingerprint_mid_freq,0.59203766,0.361308,0.259917,0.254612,0.51151,0.371952,0.427564,150.6,75.8,430.0,4.993023255813953,537.506152609986,1.1406602799892425
35,True,with_org,CPI+fingerprint_mid_freq,0.59721589,0.36047799999999997,0.26636000000000004,0.263458,0.5134380000000001,0.363611,0.42253100000000005,161.0,81.0,430.0,4.993023255813953,537.506152609986,3.540347939997446
36,True,with_org,CPI+fingerprint_low_freq,0.5993596999999999,0.24615400000000004,0.363126,0.274861,0.455781,0.1626666,0.19924,68.6,34.8,430.0,4.993023255813953,536.1705370700045,3.9194305200013333
37,True,no_org,CPI+fingerprint_low_freq,0.60940078,0.24988000000000002,0.356625,0.280292,0.45101,0.160852,0.23034,61.4,31.2,430.0,4.993023255813953,536.1705370700045,1.1949027499940712
38,False,with_org,CPI+fingerprint_low_freq,0.60578356,0.312207,0.21181299999999997,0.256241,0.365279,0.40786100000000003,0.380665,858.2,429.6,430.0,4.993023255813953,536.1705370700045,3.9194305200013333
39,False,no_org,CPI+fingerprint_low_freq,0.5971653800000001,0.331203,0.21395499999999998,0.256318,0.34799199999999997,0.427671,0.37938700000000003,868.8,434.9,430.0,4.993023255813953,536.1705370700045,1.1949027499940712
40,True,with_org,CPI+fingerprint_high_freq,0.60128678,0.23744899999999997,0.490221,0.15703499999999998,0.791144,0.941454,0.858755,76.8,38.9,430.0,4.993023255813953,534.3767321499996,3.5290111200069076
41,True,no_org,CPI+fingerprint_high_freq,0.59051776,0.22963999999999998,0.49307300000000004,0.162384,0.793044,0.950287,0.863726,65.8,33.4,430.0,4.993023255813953,534.3767321499996,1.1601440600003117
42,False,with_org,CPI+fingerprint_high_freq,0.58245647,0.275194,0.366224,0.161414,0.80073,0.8544309999999999,0.8259730000000001,619.0,310.0,430.0,4.993023255813953,534.3767321499996,3.5290111200069076
43,False,no_org,CPI+fingerprint_high_freq,0.59617917,0.266451,0.388478,0.157095,0.806195,0.859858,0.831537,626.0,313.5,430.0,4.993023255813953,534.3767321499996,1.1601440600003117
44,True,no_org,CPI+fingerprint_cardiac,0.58257318,0.268772,0.357102,0.22195900000000002,0.42985100000000004,0.17552099999999998,0.22323900000000002,77.8,39.4,430.0,4.993023255813953,527.2044866100011,1.2360007799987216
45,False,with_org,CPI+fingerprint_cardiac,0.5787702,0.344248,0.21453899999999998,0.22804000000000002,0.345519,0.403597,0.36946599999999996,825.0,413.0,430.0,4.993023255813953,527.2044866100011,3.920426440000301
46,True,with_org,CPI+fingerprint_cardiac,0.58387071,0.272861,0.361396,0.22515100000000002,0.417512,0.187117,0.253324,85.2,43.1,430.0,4.993023255813953,527.2044866100011,3.920426440000301
47,False,no_org,CPI+fingerprint_cardiac,0.57418499,0.351316,0.203781,0.220686,0.340436,0.403906,0.364993,853.8,427.4,430.0,4.993023255813953,527.2044866100011,1.2360007799987216
48,False,no_org,fingerprint_ten,0.58923182,0.420381,0.0488549,0.29509799999999997,0.565535,0.654572,0.604912,969.2,485.1,108.0,5.0,74.39329975999972,0.6543205799996941
49,False,with_org,fingerprint_ten,0.5880878199999999,0.41893,0.048091800000000004,0.288855,0.568676,0.636509,0.599379,966.6,483.8,108.0,5.0,74.39329975999972,1.2805545700000949
50,True,no_org,fingerprint_ten,0.5959868,0.409924,0.0732824,0.291896,0.583526,0.585405,0.582443,160.6,80.8,108.0,5.0,74.39329975999972,0.6543205799996941
51,True,with_org,fingerprint_ten,0.60130795,0.40603100000000003,0.0541984,0.29259,0.589478,0.589426,0.586786,154.4,77.7,108.0,5.0,74.39329975999972,1.2805545700000949
52,False,no_org,CPI_ten,0.5908582,0.412497,0.0632841,0.278542,0.58985,0.654937,0.6183690000000001,736.8,368.9,322.0,4.990683229813665,343.3324102999999,0.9585781000001589
