feature,count_ones
cpi_9606.ENSP00000257497,33
cpi_9606.ENSP00000229135,33
cpi_9606.ENSP00000358022,33
cpi_9606.ENSP00000344456,32
cpi_9606.ENSP00000304811,32
cpi_9606.ENSP00000346768,32
cpi_9606.ENSP00000354511,32
cpi_9606.ENSP00000273430,32
cpi_9606.ENSP00000366084,32
cpi_9606.ENSP00000270142,32
cpi_9606.ENSP00000220764,32
cpi_9606.ENSP00000358903,31
cpi_9606.ENSP00000358730,31
cpi_9606.ENSP00000305651,31
cpi_9606.ENSP00000379140,31
cpi_9606.ENSP00000356958,31
cpi_9606.ENSP00000420194,31
cpi_9606.ENSP00000263923,31
cpi_9606.ENSP00000216629,30
cpi_9606.ENSP00000217305,30
cpi_9606.ENSP00000375881,30
cpi_9606.ENSP00000332679,30
cpi_9606.ENSP00000393333,30
cpi_9606.ENSP00000340684,30
cpi_9606.ENSP00000353720,30
cpi_9606.ENSP00000221130,30
cpi_9606.ENSP00000225577,30
cpi_9606.ENSP00000343838,29
cpi_9606.ENSP00000303174,29
cpi_9606.ENSP00000244741,29
cpi_9606.ENSP00000321106,29
cpi_9606.ENSP00000302961,29
cpi_9606.ENSP00000342952,29
cpi_9606.ENSP00000292303,29
cpi_9606.ENSP00000217386,29
cpi_9606.ENSP00000370129,29
cpi_9606.ENSP00000342560,29
cpi_9606.ENSP00000363089,29
cpi_9606.ENSP00000264498,29
cpi_9606.ENSP00000360973,29
cpi_9606.ENSP00000276571,29
cpi_9606.ENSP00000419361,29
cpi_9606.ENSP00000308549,29
cpi_9606.ENSP00000362549,28
cpi_9606.ENSP00000261769,28
cpi_9606.ENSP00000367102,28
cpi_9606.ENSP00000234111,28
cpi_9606.ENSP00000302564,28
cpi_9606.ENSP00000263686,28
cpi_9606.ENSP00000222381,28
cpi_9606.ENSP00000361666,28
cpi_9606.ENSP00000245907,28
cpi_9606.ENSP00000285979,28
cpi_9606.ENSP00000352516,28
cpi_9606.ENSP00000324270,27
cpi_9606.ENSP00000315011,27
cpi_9606.ENSP00000309845,27
cpi_9606.ENSP00000367309,27
cpi_9606.ENSP00000297323,27
cpi_9606.ENSP00000267377,27
cpi_9606.ENSP00000331514,27
cpi_9606.ENSP00000294016,27
cpi_9606.ENSP00000341390,27
cpi_9606.ENSP00000419970,27
cpi_9606.ENSP00000309757,27
cpi_9606.ENSP00000334145,27
cpi_9606.ENSP00000251849,27
cpi_9606.ENSP00000355930,26
cpi_9606.ENSP00000317842,26
cpi_9606.ENSP00000286355,26
cpi_9606.ENSP00000363965,26
cpi_9606.ENSP00000302486,26
cpi_9606.ENSP00000307259,26
cpi_9606.ENSP00000370254,26
cpi_9606.ENSP00000311405,26
cpi_9606.ENSP00000287936,26
cpi_9606.ENSP00000260600,26
cpi_9606.ENSP00000260970,26
cpi_9606.ENSP00000361423,26
cpi_9606.ENSP00000362525,26
cpi_9606.ENSP00000314151,26
cpi_9606.ENSP00000312126,26
cpi_9606.ENSP00000296350,26
cpi_9606.ENSP00000349003,26
cpi_9606.ENSP00000340191,26
cpi_9606.ENSP00000390600,26
cpi_9606.ENSP00000233242,26
cpi_9606.ENSP00000252519,26
cpi_9606.ENSP00000254235,26
cpi_9606.ENSP00000335657,26
cpi_9606.ENSP00000320709,26
cpi_9606.ENSP00000256078,26
cpi_9606.ENSP00000324248,26
cpi_9606.ENSP00000379110,25
cpi_9606.ENSP00000366416,25
cpi_9606.ENSP00000331358,25
cpi_9606.ENSP00000350198,25
cpi_9606.ENSP00000296545,25
cpi_9606.ENSP00000363596,25
cpi_9606.ENSP00000372088,25
cpi_9606.ENSP00000236850,25
cpi_9606.ENSP00000335153,25
